GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Quick Start Archetype,dominion,Randomness,4,37,0,4,3,9,2,6,2,4
Maven Quick Start Archetype,dominion,GameState,25,449,5,41,9,86,3,29,0,9
Maven Quick Start Archetype,dominion,Card.new Object() {...},12,77,0,0,0,1,0,1,0,1
Maven Quick Start Archetype,dominion,Card.Type,9,39,0,0,0,2,2,2,2,2
Maven Quick Start Archetype,dominion,Card,112,945,23,66,25,184,19,46,0,15
Maven Quick Start Archetype,dominion,Card.CardName,5,213,0,0,0,4,1,3,1,3
Maven Quick Start Archetype,dominion,Player,1,430,3,35,1,96,3,29,0,13
