TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.cs362.dominion.Card,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7060504415289248,817,430
org.cs362.dominion.GameState,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7981967545660432,411,298
org.cs362.dominion.PlayDominion,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7295054945054945,91,64
org.cs362.dominion.Player,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8514754982535443,654,537
org.cs362.dominion.Randomness,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8861111111111112,96,90
